id,fruit,berry
131,Carissa,false
132,Cowberry,true
133,Barberry,true
134,Cornelian Cherry,true
135,Elderberry,true
136,Goji Berry,true
137,Honeyberry,true
138,Juneberry,true
139,Mulberry,true
140,Red Mulberry,true
141,White Mulberry,true
142,Black Mulberry,true
143,Serviceberry,true
144,Bilberry,true
145,Blueberry,true
146,Cranberry,true
147,Huckleberry,true
148,Black Huckleberry,true
149,Bog Bilberry,true
150,Box Huckleberry,true
151,Cascade Huckleberry,true
152,Cranberry Vaccinium,true
153,Deerberry,true
154,Dwarf Bilberry,true
155,Mountain Huckleberry,true
156,Partridgeberry,true
157,Red Bilberry,true
158,Red Huckleberry,true
159,Resurrectionberry,true
160,Shiny Blueberry,true
